timestamp,activity,member_id,origin,book_id1,book_id2,book_id3,book_id4,book_id5,subscription_type
2023-01-01 11:28:40,Update Subscription Type,M836,Subscription,,,,,,Budget
2023-01-01 11:55:05,Update Subscription Type,M641,Subscription,,,,,,Budget
2023-01-01 15:55:00,Update Subscription Type,M539,Subscription,,,,,,Deluxe
2023-01-01 15:30:32,Update Subscription Type,M054,Subscription,,,,,,Budget
2023-01-01 14:02:49,Update Subscription Type,M1081,Subscription,,,,,,Comfort
2023-01-01 14:26:07,Borrow books,M900,Book,0120355,0130713,,,,
2023-01-01 10:08:25,Borrow books,M968,Book,0122421,,,,,
2023-01-01 12:47:46,Borrow books,M389,Book,0110614,0129946,0130893,0132664,0138180,
2023-01-01 14:26:48,Borrow books,M245,Book,0116728,017494,0112375,019735,,
2023-01-01 16:42:00,Borrow books,M1075,Book,0141416,01668,,,,
2023-01-01 15:35:26,Borrow books,M997,Book,0119179,019903,0111466,0124180,019924,
2023-01-01 14:37:28,Borrow books,M413,Book,0129011,0125065,0112581,0126860,,
2023-01-01 15:43:30,Borrow books,M137,Book,0118017,0113728,,,,
2023-01-01 15:53:17,Borrow books,M611,Book,0132691,,,,,
2023-01-01 12:31:30,Borrow books,M998,Book,0143666,016230,0138643,017339,,
2023-01-02 13:17:00,Borrow books,M1184,Book,0132650,0111002,0143932,0115966,018675,
2023-01-02 16:44:59,Borrow books,M805,Book,0113943,0115692,,,,
2023-01-02 13:51:14,Borrow books,M126,Book,0139637,0115154,0115378,0113467,015419,
2023-01-02 08:44:36,Borrow books,M809,Book,0133344,0141495,012144,,,
2023-01-02 13:53:43,Borrow books,M170,Book,0112319,0120807,014866,,,
2023-01-02 10:26:53,Borrow books,M1110,Book,0127425,,,,,
2023-01-02 13:29:31,Borrow books,M1027,Book,0140215,013584,0115046,,,
2023-01-02 16:52:06,Borrow books,M133,Book,0142898,013304,,,,
2023-01-02 13:06:37,Borrow books,M894,Book,016611,,,,,
2023-01-02 10:07:35,Borrow books,M040,Book,017551,0117780,0129639,012655,0136161,
2023-01-02 09:29:04,Borrow books,M970,Book,0143888,0113086,0131507,,,
2023-01-02 12:28:31,Borrow books,M379,Book,0143554,,,,,
2023-01-02 09:26:17,Borrow books,M313,Book,0144630,013717,0131916,019865,0112733,
2023-01-02 12:59:28,Borrow books,M599,Book,0144543,0138700,,,,
2023-01-02 10:44:56,Borrow books,M339,Book,0135210,0116597,0136573,0112537,,
2023-01-02 12:24:10,Borrow books,M377,Book,017480,0132626,017592,0136644,,
2023-01-02 11:49:09,Borrow books,M584,Book,0114663,,,,,
2023-01-03 12:01:50,Borrow books,M560,Book,0116114,0119534,,,,
2023-01-03 09:52:25,Borrow books,M350,Book,013055,,,,,
2023-01-03 16:06:38,Borrow books,M684,Book,0134672,015136,0128093,0136639,01675,
2023-01-03 09:20:36,Borrow books,M100,Book,0116379,0113981,0113727,,,
2023-01-03 13:17:34,Borrow books,M299,Book,0131474,0122966,0128988,0115557,0128483,
2023-01-03 08:13:38,Borrow books,M522,Book,0112749,0128196,0117658,0122028,,
2023-01-03 11:41:51,Borrow books,M629,Book,0128278,018489,,,,
2023-01-03 15:24:33,Borrow books,M535,Book,015814,0118413,0111605,0132572,,
2023-01-03 15:00:42,Borrow books,M680,Book,0112932,,,,,
2023-01-03 12:36:12,Borrow books,M605,Book,0114861,0113517,0135231,0116881,0123257,
2023-01-03 14:31:27,Borrow books,M298,Book,0125268,,,,,
2023-01-03 15:57:05,Borrow books,M620,Book,017520,017140,0113994,,,
2023-01-03 11:27:19,Borrow books,M448,Book,0128687,,,,,
2023-01-03 12:13:20,Borrow books,M991,Book,0129932,0114045,0132254,013311,0139961,
2023-01-03 10:42:59,Borrow books,M296,Book,0138056,0119439,0124945,0141649,,
2023-01-03 15:31:33,Borrow books,M937,Book,0115045,0120071,012068,0112383,,
2023-01-03 12:02:56,Borrow books,M038,Book,0119082,0142533,,,,
2023-01-03 10:13:27,Borrow books,M704,Book,0112155,0114179,0115779,0125884,0134,
2023-01-04 12:46:37,Borrow books,M984,Book,0128087,,,,,
2023-01-04 08:14:22,Borrow books,M061,Book,0129252,0143603,,,,
2023-01-04 11:28:49,Borrow books,M1187,Book,0130384,0145336,011196,,,
2023-01-04 15:19:19,Borrow books,M839,Book,0111654,013850,0117581,,,
2023-01-04 11:46:00,Borrow books,M014,Book,0121430,012586,0125299,,,
2023-01-04 11:26:31,Borrow books,M856,Book,0125045,018546,0141717,0131185,,
2023-01-04 15:49:49,Borrow books,M1199,Book,0111752,01933,0134312,0145436,,
2023-01-04 11:53:23,Borrow books,M454,Book,019298,014373,019826,0142536,,
2023-01-04 13:39:02,Borrow books,M526,Book,0124178,015743,,,,
2023-01-04 08:41:26,Borrow books,M107,Book,0114069,0127660,0128763,,,
2023-01-04 11:34:43,Borrow books,M1185,Book,0117149,0125992,,,,
2023-01-04 09:38:26,Borrow books,M640,Book,0121838,0124580,,,,
2023-01-04 11:22:51,Borrow books,M031,Book,0131304,0116874,0115746,0113624,,
2023-01-04 09:08:19,Borrow books,M334,Book,018829,0113398,,,,
2023-01-04 09:51:51,Borrow books,M154,Book,0110867,0121330,,,,
2023-01-04 12:34:07,Borrow books,M1129,Book,0112,,,,,
2023-01-04 11:48:09,Borrow books,M859,Book,0113856,015307,,,,
2023-01-04 16:26:42,Borrow books,M519,Book,018249,0140996,01292,0112049,0139149,
2023-01-04 11:38:04,Borrow books,M571,Book,0118546,,,,,
2023-01-04 12:16:09,Borrow books,M821,Book,0117994,,,,,
2023-01-04 15:59:59,Borrow books,M209,Book,0121323,0112570,0141430,0116720,,
